"","Lineage_Name","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"392","GLYSPI04",1,1,1,1,1,1
"393","GLYSPI05",1,1,1,1,1,1
"394","GRAGUA01",1,1,1,1,1,1
"395","GRAQUI01",1,1,1,1,1,1
"396","GRAQUI02",1,1,1,1,1,1
"397","GRARUF01",1,1,1,1,1,1
"398","GRARUF02",1,1,1,1,1,1
"399","GURUF01",1,1,1,1,1,1
"400","GYMLEU02",1,1,1,1,1,1
"401","GYMSAL03",1,1,1,1,1,1
"402","H012",1,1,1,1,1,1
"403","Haemoproteusvireonis",1,1,1,1,1,1
"404","HEMGUI01",1,1,1,1,1,1
"405","HYAMA01",1,1,1,1,1,1
"406","HYLNAE01",1,1,1,1,1,1
"407","HYLNAE02",1,1,1,1,1,1
"408","HYLOCH01",1,1,1,1,1,1
"409","HYLPUN01",1,1,1,1,1,1
"410","HYLPUN03",1,1,1,1,1,1
"411","HYPCAN01",1,1,1,1,1,1
"412","HYPCAN02",1,1,1,1,1,1
"413","HYPOCH01",1,1,1,1,1,1
"414","HYPSTR01",1,1,1,1,1,1
"415","HYPSTR03",1,1,1,1,1,1
"416","HYPSTR05",1,1,1,1,1,1
"417","HYPSTR06",1,1,1,1,1,1
"418","HYPSTR09",1,1,1,1,1,1
"419","HYPSTR10",1,1,1,1,1,1
"420","HYPSTR12",1,1,1,1,1,1
"421","HYPSTR14",1,1,1,1,1,1
"422","HYPSTR15",1,1,1,1,1,1
"423","HYREC01",1,1,1,1,1,1
"424","IBYAME01",1,1,1,1,1,1
"425","ICTCAY03",1,1,1,1,1,1
"426","IIL-2016",1,1,1,1,1,1
"427","ISLGUT01",1,1,1,1,1,1
"428","ISLGUT02",1,1,1,1,1,1
"429","ISLHAU02",1,1,1,1,1,1
"430","ISLHAU03",1,1,1,1,1,1
"431","JA09",1,1,1,1,1,1
"432","JUNPHA01",1,1,1,1,1,1
"433","KNIPOE01",1,1,1,1,1,1
"434","LAIRI01",1,1,1,1,1,1
"435","LEIPER01",1,1,1,1,1,1
"436","LEIPER02",1,1,1,1,1,1
"437","LEPAMA01",1,1,1,1,1,1
"438","LEPANG01",1,1,1,1,1,1
"439","LEPANG02",1,1,1,1,1,1
"440","LEPCOR01",1,1,1,1,1,1
"441","LEPCOR02",1,1,1,1,1,1
"442","LEPCOR06",1,1,1,1,1,1
"443","LEPNAT02",1,1,1,1,1,1
"444","LEPNAT03",1,1,1,1,1,1
"445","LEPVIL01",1,1,1,1,1,1
"446","LinhagemNova",1,1,1,1,1,1
"447","LIPVOC01",1,1,1,1,1,1
"448","MACPYR02",1,1,1,1,1,1
"449","MALRUF01",1,1,1,1,1,1
"450","MESCAY01",1,1,1,1,1,1
"451","METYR01",1,1,1,1,1,1
"452","MICGIL01",1,1,1,1,1,1
"453","MICMIN01",1,1,1,1,1,1
"454","MICMIN02",1,1,1,1,1,1
"455","MICMIN03",1,1,1,1,1,1
"456","MICMIN04",1,1,1,1,1,1
"457","MICMIN05",1,1,1,1,1,1
"458","MICRUF01",1,1,1,1,1,1
"459","MIOMAC01",1,1,1,1,1,1
"460","MIOMAC02",1,1,1,1,1,1
"461","MIOSTR01",1,1,1,1,1,1
"462","MITOM01",1,1,1,1,1,1
"463","MOLBON02",1,1,1,1,1,1
"464","MYCAME01",1,1,1,1,1,1
"465","MYCAME03",1,1,1,1,1,1
"466","MYCAME04",1,1,1,1,1,1
"467","MYCAME05",1,1,1,1,1,1
"468","MYCAME06",1,1,1,1,1,1
"469","MYCAME07",1,1,1,1,1,1
"470","MYCAME08",1,1,1,1,1,1
"471","MYCAN01",1,1,1,1,1,1
"472","MYIFER01",1,1,1,1,1,1
"473","MYMAC03",1,1,1,1,1,1
"474","MYRAXI02",1,1,1,1,1,1
"475","MYRAXI04",1,1,1,1,1,1
"476","MYRAXI05",1,1,1,1,1,1
"477","MYRAXI06",1,1,1,1,1,1
"478","MYRAXI07",1,1,1,1,1,1
"479","MYRAXI10",1,1,1,1,1,1
"480","MYRFOR01",1,1,1,1,1,1
"481","MYRFOR03",1,1,1,1,1,1
"482","MYRHEM01",1,1,1,1,1,1
"483","MYRLON01",1,1,1,1,1,1
"484","MYRLON03",1,1,1,1,1,1
"485","MYRLON04",1,1,1,1,1,1
"486","MYRMEN02",1,1,1,1,1,1
"487","MYRMYO02",1,1,1,1,1,1
"488","MYRMYO04",1,1,1,1,1,1
"489","MYRMYO05",1,1,1,1,1,1
"490","MYRMYO07",1,1,1,1,1,1
"491","MYRMYO08",1,1,1,1,1,1
"492","MYRMYO09",1,1,1,1,1,1
"493","MYRSCH01",1,1,1,1,1,1
"494","NEOFAS06",1,1,1,1,1,1
"495","NEOFAS07",1,1,1,1,1,1
"496","NEOFAS08",1,1,1,1,1,1
"497","NEOFAS09",1,1,1,1,1,1
"498","NEOFAS10",1,1,1,1,1,1
"499","NEOFAS12",1,1,1,1,1,1
"500","Nova",1,1,1,1,1,1
"501","NYSMAC04",1,1,1,1,1,1
"502","P1477/478",1,1,1,1,1,1
"503","P3477/478",1,1,1,1,1,1
"504","PACMAR01",1,1,1,1,1,1
"505","PACPOL02",1,1,1,1,1,1
"506","PACRUF01",1,1,1,1,1,1
"507","PACVAL01",1,1,1,1,1,1
"508","PADOM19",1,1,1,1,1,1
"509","PAPOL04",1,1,1,1,1,1
"510","PAPOL06",1,1,1,1,1,1
"511","PARCAP01",1,1,1,1,1,1
"512","PARCAP02",1,1,1,1,1,1
"513","PARCAP03",1,1,1,1,1,1
"514","PARCAP05",1,1,1,1,1,1
"515","PARCAP06",1,1,1,1,1,1
"516","PARCAP08",1,1,1,1,1,1
"517","PARCAP09",1,1,1,1,1,1
"518","PARCON01",1,1,1,1,1,1
"519","PHAE01",1,1,1,1,1,1
"520","PHIERY01",1,1,1,1,1,1
"521","PHIERY03",1,1,1,1,1,1
"522","PHLNIG02",1,1,1,1,1,1
"523","PHLNIG04",1,1,1,1,1,1
"524","PHLNIG06",1,1,1,1,1,1
"525","PHMUR01",1,1,1,1,1,1
"526","PIACAY01",1,1,1,1,1,1
"527","PICFLA01",1,1,1,1,1,1
"528","PIOLI03",1,1,1,1,1,1
"529","PIPCHL01",1,1,1,1,1,1
"530","PIPFAS03",1,1,1,1,1,1
"531","PIPFAS04",1,1,1,1,1,1
"532","PIRFLA04",1,1,1,1,1,1
"533","PIRFLA06",1,1,1,1,1,1
"534","PISUL01",1,1,1,1,1,1
"535","POMFER01",1,1,1,1,1,1
"536","POPLU01",1,1,1,1,1,1
"537","PRAIRIECH",1,1,1,1,1,1
"538","PSABIF01",1,1,1,1,1,1
"539","PSABIF02",1,1,1,1,1,1
"540","PsDIS01",1,1,1,1,1,1
"541","PSEGRI01",1,1,1,1,1,1
"542","PYERY01",1,1,1,1,1,1
"543","PYLEU02",1,1,1,1,1,1
"544","PYLEU04",1,1,1,1,1,1
"545","PYRLEP01",1,1,1,1,1,1
"546","PYRLEP02",1,1,1,1,1,1
"547","PYRLEU03",1,1,1,1,1,1
"548","PYRLEU04",1,1,1,1,1,1
"549","PYRRUB01",1,1,1,1,1,1
"550","RAMCAR02",1,1,1,1,1,1
"551","RAMCAR03",1,1,1,1,1,1
"552","RAMCAR05",1,1,1,1,1,1
"553","RHYSIM01",1,1,1,1,1,1
"554","SCHRUF01",1,1,1,1,1,1
"555","SCHTUR01",1,1,1,1,1,1
"556","SCHTUR02",1,1,1,1,1,1
"557","SCLCAU01",1,1,1,1,1,1
"558","SCLCAU02",1,1,1,1,1,1
"559","SERCIN01",1,1,1,1,1,1
"560","SERSUB01",1,1,1,1,1,1
"561","SocH4",1,1,1,1,1,1
"562","SPMAG06",1,1,1,1,1,1
"563","SPOPLU01",1,1,1,1,1,1
"564","STTA17H",1,1,1,1,1,1
"565","SYCIN01",1,1,1,1,1,1
"566","SYNALB01",1,1,1,1,1,1
"567","TACCRI02",1,1,1,1,1,1
"568","TACRUB03",1,1,1,1,1,1
"569","TACRUB04",1,1,1,1,1,1
"570","TACRUF01",1,1,1,1,1,1
"571","TAFUF01",1,1,1,1,1,1
"572","TANCAY01",1,1,1,1,1,1
"573","TANCHI02",1,1,1,1,1,1
"574","TANCYA02",1,1,1,1,1,1
"575","TANLAB01",1,1,1,1,1,1
"576","TANNIG01",1,1,1,1,1,1
"577","TANSAY01",1,1,1,1,1,1
"578","TANXAN01",1,1,1,1,1,1
"579","TARMAJ01",1,1,1,1,1,1
"580","TERERY01",1,1,1,1,1,1
"581","TFUS01",1,1,1,1,1,1
"582","TFUS02",1,1,1,1,1,1
"583","TFUS03",1,1,1,1,1,1
