"","Lineage_Name","site","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"403","ATTCIN01","Bel1",1,1,1,1,1,1
"404","AUTINF01","Ime1",1,1,1,1,1,1
"405","AUTINF02","Ime1",1,1,1,1,1,1
"406","AUTINF03","Ime1",1,1,1,1,1,1
"407","AUTOCH01","Rond1",1,1,1,1,1,1
"408","AUTOCH02","Rond1",1,1,1,1,1,1
"409","AUTOCH03","Rond1",1,1,1,1,1,1
"410","AUTPAR01","Bel1",1,1,1,1,1,1
"411","AUTPAR01","Pan1",1,1,1,1,1,1
"412","AUTPAR01","Tap1",1,1,1,1,1,1
"413","AUTRUF01","Tap2",1,1,1,1,1,1
"414","BAEBIC02","Hunuco",1,1,1,1,1,1
"415","BAEBIC02","Laguna_Anantay",1,1,1,1,1,1
"416","BAEBIC02","Mantaro_Valley",1,1,1,1,1,1
"417","BAEBIC02","Sianbal",1,1,1,1,1,1
"418","BAEBIC02","Tullanya",1,1,1,1,1,1
"419","BAEBIC02","Yanah",1,1,1,1,1,1
"420","BAFLA01","Nova_Lima",1,1,1,1,1,1
"421","BAFLA02","Esp1",1,1,1,1,1,1
"422","BAFLA02","Felixlandia",1,1,1,1,1,1
"423","BAFLA02","Salto_da_Divisa",1,1,1,1,1,1
"424","BAFLA03","Chapada_dos_Guimaraes",1,1,1,1,1,1
"425","BAFLA03","CLBI-Parnamirim/RN",1,1,1,1,1,1
"426","BAFLA03","Salto_da_Divisa",1,1,1,1,1,1
"427","BAFLA04","Cha1",1,1,1,1,1,1
"428","BAFLA04","ESEC-Serra_Negra_do_Norte/RN",1,1,1,1,1,1
"429","BAFLA05","Brasilandia_de_Minas",1,1,1,1,1,1
"430","BAHYP01","Felixlandia",1,1,1,1,1,1
"431","BAHYP01","Mata_Seca",1,1,1,1,1,1
"432","BASFUL01","Chaucha",1,1,1,1,1,1
"433","BASFUL01","La_Joya",1,1,1,1,1,1
"434","BASTRI01","Hual4",1,1,1,1,1,1
"435","BO6","Varzea_Grande",1,1,1,1,1,1
"436","BUL07","Hual5",1,1,1,1,1,1
"437","CAINO01","Chaucha",1,1,1,1,1,1
"438","CAMRUB01","Bel1",1,1,1,1,1,1
"439","CANLEU01","RondIL",1,1,1,1,1,1
"440","CANLEU02","RondIL",1,1,1,1,1,1
"441","CANLEU03","RondIL",1,1,1,1,1,1
"442","CANLEU04","RondIL",1,1,1,1,1,1
"443","CAOBS01","Felixlandia",1,1,1,1,1,1
"444","CAOBS01","Nova_Lima",1,1,1,1,1,1
"445","CARUF01","Salto_da_Divisa",1,1,1,1,1,1
"446","CASFUS01","Aiu1",1,1,1,1,1,1
"447","CATUST05","Bosque_Palacio",1,1,1,1,1,1
"448","CATUST05","Hual4",1,1,1,1,1,1
"449","CATUST06","Hual1",1,1,1,1,1,1
"450","CATUST06","Hual5",1,1,1,1,1,1
"451","CATUST21","Bogota",1,1,1,1,1,1
"452","CERCIN01","Bel1",1,1,1,1,1,1
"453","CERCIN02","Hual4",1,1,1,1,1,1
"454","CERCIN02","Ina3",1,1,1,1,1,1
"455","CERCIN03","Ina3",1,1,1,1,1,1
"456","CERCIN04","Ina3",1,1,1,1,1,1
"457","CERERY01","Ime1",1,1,1,1,1,1
"458","CERERY01","Ina1",1,1,1,1,1,1
"459","CERRUB01","Rond3",1,1,1,1,1,1
"460","CERSER01","Ina1",1,1,1,1,1,1
"461","CHACAM01","Henri_Pittier_National_Park",1,1,1,1,1,1
