"","Lineage_Name","Lineage_Genera","n_sites","n_bird_individuals","n_status","riqueza","perlocation","Host_Status","Perlocation"
"79","LEAMA01","Plasmodium",3,11,1,2,0.0476190476190476,"R",0.0192307692307692
"80","LEPCOR03","Haemoproteus",3,10,2,7,0.0476190476190476,"R_PM",0.0192307692307692
"81","MYRAXI03","Plasmodium",3,6,1,1,0.0476190476190476,"R",0.0192307692307692
"82","MYRMYO01","Plasmodium",3,9,1,7,0.0476190476190476,"R",0.0192307692307692
"83","MYSWA01","Plasmodium",3,10,2,5,0.0476190476190476,"R_PM",0.0192307692307692
"84","NEOFAS02","Parahaemoproteus",3,3,1,2,0.0476190476190476,"R",0.0192307692307692
"85","NYSMAC03","Parahaemoproteus",3,9,2,3,0.0476190476190476,"R_PM",0.0192307692307692
"86","SocH3","Haemoproteus",3,77,2,8,0.0476190476190476,"R_PM",0.0192307692307692
"87","THACAE08","Plasmodium",3,6,1,3,0.0476190476190476,"R",0.0192307692307692
"88","THAMB02","Plasmodium",3,23,1,1,0.0476190476190476,"R",0.0192307692307692
"89","THAMB08","Plasmodium",3,4,1,1,0.0476190476190476,"R",0.0192307692307692
"90","TROAED02","Leucocytozoon",3,3,1,1,0.0476190476190476,"M",0.0192307692307692
"91","TROAED18","Haemoproteus",3,3,2,3,0.0476190476190476,"R_M",0.0192307692307692
"92","TROAED23","Plasmodium",3,4,1,4,0.0476190476190476,"R",0.0192307692307692
"93","TURALB01","Plasmodium",3,6,2,3,0.0476190476190476,"R_M",0.0192307692307692
"94","TURUF03","Plasmodium",3,6,1,1,0.0476190476190476,"R",0.0192307692307692
"95","VOLJAC02","Plasmodium",3,6,1,5,0.0476190476190476,"R",0.0192307692307692
"96","ANIFLA01","Parahaemoproteus",2,7,1,2,0.0317460317460317,"R",0.0128205128205128
"97","BAFLA01","Plasmodium",2,4,1,2,0.0317460317460317,"R",0.0128205128205128
"98","CANLEU01","Plasmodium",2,3,1,2,0.0317460317460317,"R",0.0128205128205128
"99","CARUF01","Parahaemoproteus",2,6,2,2,0.0317460317460317,"R_PM",0.0128205128205128
"100","CERCIN02","Plasmodium",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"101","CERERY01","Plasmodium",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"102","CHLOP01","Haemoproteus",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"103","COLIN01","Plasmodium",2,6,1,1,0.0317460317460317,"R",0.0128205128205128
"104","COLIN16","Plasmodium",2,4,1,2,0.0317460317460317,"R",0.0128205128205128
"105","COLL4","Plasmodium",2,2,1,1,0.0317460317460317,"R",0.0128205128205128
"106","COMEL01","Plasmodium",2,2,1,1,0.0317460317460317,"R",0.0128205128205128
"107","CONCAS01","Plasmodium",2,2,1,2,0.0317460317460317,"R",0.0128205128205128
"108","COPIC01","Haemoproteus",2,18,1,2,0.0317460317460317,"R",0.0128205128205128
"109","CORPIL01","Plasmodium",2,13,1,3,0.0317460317460317,"R",0.0128205128205128
