"","Lineage_Name","NObs","NLocs","MST","CH","GCD","LatRg","MinLat","MaxLat","LongRg","MinLong","MaxLong","CellCount","parasiteGenus","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes","Host_Status"
"256","HYPSTR15",1,1,0,0,0,0,-1.95,-1.95,0,-51.6,-51.6,1,"Plasmodium",1,1,1,1,1,1,"R"
"257","HYREC01",1,4,3111.66394793755,1114473.58127855,1835.6069957247,1178.50542841868,-30.205564,-19.566667,1101.75568549664,-57.495736,-43.5049448,4,"Plasmodium",1,1,1,1,1,1,"R"
"258","IBYAME01",1,1,0,0,NA,0,-16.25,-16.25,0,-56.366667,-56.366667,1,"Haemoproteus",1,1,1,1,1,1,"R"
"259","ICTCAY01",4,1,0,0,0,0,-15.4018485,-15.4018485,0,-47.5852374,-47.5852374,1,"Plasmodium",4,8,1,5,3,3,"R"
"260","ICTCAY03",1,1,0,0,0,0,-19.5907472,-19.5907472,0,-43.5049448,-43.5049448,1,"Plasmodium",1,1,1,1,1,1,"R"
"261","IIL-2016",1,1,0,0,0,0,-0.4,-0.4,0,-64.8,-64.8,1,"Plasmodium",1,1,1,1,1,1,"R"
"262","ILMIL01",1,1,0,0,0,0,-0.4,-0.4,0,-64.8,-64.8,1,"Plasmodium",1,3,1,2,1,1,"R"
"263","ISLGUT01",1,2,1102.64139509911,0,1102.64139509911,108.737194950724,-4.683333,-3.7,778.785827818241,-56.633333,-46.75,2,"Plasmodium",1,1,1,1,1,1,"R"
"264","ISLGUT02",1,1,0,0,NA,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,1,1,1,1,1,"R"
"265","ISLHAU01",2,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",2,2,1,1,1,1,"R"
"266","ISLHAU02",1,1,0,0,0,0,-6.344364,-6.344364,0,-37.152527,-37.152527,1,"Plasmodium",1,1,1,1,1,1,"R"
"267","ISLHAU03",1,1,0,0,0,0,-30.205564,-30.205564,0,-57.495736,-57.495736,1,"Haemoproteus",1,1,1,1,1,1,"R"
"268","JA09",1,1,0,0,0,0,-4.5,-4.5,0,-56.266667,-56.266667,1,"Plasmodium",1,1,1,1,1,1,"R"
"269","JUNPHA01",1,1,0,0,0,0,-1.299933,-1.299933,0,-90.437217,-90.437217,1,"Haemoproteus",1,1,1,1,1,1,"R"
"270","KNIPOE01",1,3,617.111924584806,43039.0581538644,446.559006980519,355.991753538113,-19.4724319,-16.2559998,277.888870636169,-44.5356927,-41.011001,1,"Haemoproteus",1,1,1,1,1,1,"R"
"271","LAIRI01",1,1,0,0,NA,0,-5.5524107,-5.5524107,0,-35.103905,-35.103905,1,"Plasmodium",1,1,1,1,1,1,"R"
"272","LEAMA01",3,2,1145.42305568865,0,1145.42305568865,903.122231280723,-14.50911,-6.344364,507.675587401579,-43.59298,-37.152527,2,"Plasmodium",3,11,1,2,2,1,"R"
"273","LECOR02",1,1,0,0,NA,0,-5.216667,-5.216667,0,-56.916667,-56.916667,1,"Plasmodium",1,3,1,3,1,1,"R"
"274","LECOR04",2,1,0,0,0,0,-6.6,-6.6,0,-40.116667,-40.116667,1,"Plasmodium",2,10,1,2,2,2,"R"
"275","LEPAMA01",1,1,0,0,0,0,-30.205564,-30.205564,0,-57.495736,-57.495736,1,"Plasmodium",1,1,1,1,1,1,"R"
"276","LEPANG01",1,1,0,0,0,0,-2.116667,-2.116667,0,-77.733333,-77.733333,1,"Plasmodium",1,1,1,1,1,1,"R"
"277","LEPANG02",1,1,0,0,0,0,-2.116667,-2.116667,0,-77.733333,-77.733333,1,"Plasmodium",1,1,1,1,1,1,"R"
"278","LEPCOR01",1,3,2508.77293391164,66310.4176978102,2494.75708796126,1410.18656326535,-14.866667,-2.116667,1473.75894051469,-77.733333,-59,2,"Plasmodium",1,1,1,1,1,1,"R"
"279","LEPCOR02",1,5,3544.96729041431,1258901.98854756,2182.60516216029,1306.82313802859,-12.216667,-0.4,1446.34490032667,-77.733333,-59.35,5,"Plasmodium",1,1,1,1,1,1,"R"
"280","LEPCOR03",3,2,398.035707141927,0,398.035707141927,18.2092803664593,-4.998,-4.833333,282.642844840554,-62.935,-59.35,2,"Haemoproteus",3,10,2,7,3,3,"R_PM"
"281","LEPCOR04",5,1,0,0,NA,0,-9.1,-9.1,0,-64.466667,-64.466667,1,"Plasmodium",5,8,1,5,2,2,"R"
"282","LEPCOR05",2,1,0,0,0,0,-13.8,-13.8,0,-59.683333,-59.683333,1,"Plasmodium",2,2,1,1,1,1,"R"
"283","LEPCOR06",1,1,0,0,0,0,-9.316667,-9.316667,0,-64.716667,-64.716667,1,"Plasmodium",1,1,1,1,1,1,"R"
"284","LEPNAT01",1,1,0,0,0,0,-9.316667,-9.316667,0,-64.716667,-64.716667,1,"Plasmodium",1,2,1,1,1,1,"R"
