Lineage_0me;NObs;NLocs;MST;CH;GCD;LatRg;MinLat;MaxLat;LongRg;MinLong;MaxLong;CellCount;parasiteGenus;n_sites;n_bird_individuals;n_status;riqueza;n_biomas;n_regioes;Host_Status
Plasmodiumnucleophilum;1;1;0;0;0;0;-14.50911;-14.50911;0;-43.59298;-43.59298;1;Plasmodium;1;4;1;4;1;1;R
POMFER01;1;1;0;0;0;0;10.75;10.75;0;-73.666667;-73.666667;1;Plasmodium;1;1;1;1;1;1;R
POPLU01;1;1;0;0;0;0;-5.5524107;-5.5524107;0;-35.103905;-35.103905;1;Plasmodium;1;1;1;1;1;1;R
PRAIRIECH;1;1;0;0;0;0;-15.5211053;-15.5211053;0;-47.552045;-47.552045;1;Plasmodium;1;1;1;1;1;1;R
PREGUT01;2;2;20.8602676112486;0;20.8602676112486;14.7453003064312;-6.716667;-6.583333;10.5128838774862;-77.55;-77.416667;1;Plasmodium;2;4;1;2;1;1;R
PSABIF01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
PSABIF02;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Haemoproteus;1;1;1;1;1;1;R
PsDIS01;1;1;0;0;0;0;-21.1658279;-21.1658279;0;-47.45862;-47.45862;1;Haemoproteus;1;1;1;1;1;1;R
PSEGRI01;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Plasmodium;1;1;1;1;1;1;R
PSOOCH01;1;1;0;0;0;0;-0.583333;-0.583333;0;-64.916667;-64.916667;1;Plasmodium;1;2;1;1;1;1;R
PYERY01;1;1;0;0;0;0;-9.916667;-9.916667;0;-76.233333;-76.233333;1;Haemoproteus;1;1;1;1;1;1;R
PYLEU01;4;4;648.239334145444;31720.6373538708;608.501974699808;442.186105325068;-19.5907472;-15.5954324;310.576851686537;-43.5049448;-39.5655673;2;Plasmodium;4;14;1;2;2;1;R
PYLEU02;1;1;0;0;0;0;-19.5907472;-19.5907472;0;-43.5049448;-43.5049448;1;Plasmodium;1;1;1;1;1;1;R
PYLEU04;1;1;0;0;0;0;-15.5954324;-15.5954324;0;-39.5655673;-39.5655673;1;Plasmodium;1;1;1;1;1;1;R
PYRLEP01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
PYRLEP02;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
PYRLEU03;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
PYRLEU04;1;1;0;0;0;0;-13.84;-13.84;0;-39241;-39241;1;Plasmodium;1;1;1;1;1;1;R
PYRRUB01;1;1;0;0;0;0;-30.205564;-30.205564;0;-57.495736;-57.495736;1;Haemoproteus;1;1;1;1;1;1;M
RAMCAR01;2;2;1310.45520676518;0;1310.45520676518;1307.52001570075;-15.5211053;-3.7;63.2384516875825;-47.552045;-46.75;2;Plasmodium;2;3;2;3;2;2;R_PM
